id,name,date,time,description,dj_id,venue_id,created_at,updated_at,promoter_id,festival_id,photo_file_name,photo_content_type,photo_file_size,photo_updated_at
33,,2015-02-19,,,713,1939,2015-02-16 16:39:15.80098,2015-03-26 19:47:15.00259,,,,,,
57,,,,,,302,2015-03-30 21:56:32.964754,2015-03-30 21:56:32.964754,,,,,,
58,,,,,,302,2015-03-31 16:04:21.997631,2015-03-31 16:04:21.997631,,,,,,
59,,,,,,302,2015-03-31 16:32:26.467627,2015-03-31 16:32:26.467627,,,,,,
60,,2015-04-03,,,721,1883,2015-04-05 23:01:09.071996,2015-04-05 23:06:55.390609,,,,,,
61,,2015-04-04,,,,1986,2015-04-05 23:17:14.064907,2015-04-05 23:20:40.974749,,,,,,
102,,2015-06-11,,,622,1984,2015-06-12 17:53:56.799959,2015-06-12 17:53:56.799959,,,,,,
62,,2015-04-03,,,722,1698,2015-04-05 23:22:13.519791,2015-04-06 02:02:29.505741,,,,,,
63,,,,,,302,2015-04-08 21:07:01.505705,2015-04-08 21:07:01.505705,,,,,,
64,,,,,,302,2015-04-09 17:59:52.191531,2015-04-09 17:59:52.191531,,,,,,
80,,2015-04-24,,,732,1951,2015-04-27 00:23:38.661267,2015-04-28 16:30:07.730714,,,,,,
27,,2015-04-08,,,723,1783,2015-02-09 21:24:53.780501,2015-04-10 19:04:41.580178,,,,,,
65,,2015-02-07,,,711,1783,2015-04-10 19:02:59.166995,2015-04-10 19:05:55.97757,,,,,,
67,,2015-04-08,,,,1987,2015-04-10 21:23:27.405252,2015-04-10 21:23:27.405252,,,,,,
69,,,,,590,590,2015-04-12 16:38:06.439952,2015-04-12 16:38:34.305491,,,,,,
68,,2015-04-10,,,590,1715,2015-04-12 16:35:51.127257,2015-04-12 16:40:43.071323,,,,,,
82,,,,,,1260,2015-04-28 19:50:55.36667,2015-04-28 19:50:55.36667,,,,,,
7,,2014-12-30,,,1744,1741,2015-01-26 19:11:40.161597,2015-04-29 13:35:02.152253,,,,,,
84,,2015-04-30,,,,1994,2015-05-01 14:45:07.675524,2015-05-01 14:45:07.675524,,,,,,
85,,2015-04-29,,,1060,1939,2015-05-01 15:18:01.809164,2015-05-01 15:18:01.809164,,,,,,
22,,2015-02-05,,,708,1984,2015-02-06 16:12:54.157488,2015-05-06 21:14:00.620672,4,,,,,
88,,2015-05-07,,,1747,1939,2015-05-08 17:38:03.570604,2015-05-08 17:38:03.570604,,,,,,
90,,2015-05-12,,,1748,1995,2015-05-13 15:36:07.103807,2015-05-13 15:36:07.103807,,,,,,
92,,2015-05-14,,,448,1996,2015-05-18 14:56:54.855016,2015-05-18 18:09:15.932397,29,,,,,
94,,2015-05-09,,,312,,2015-05-27 20:53:24.778343,2015-05-27 20:53:24.778343,,1,,,,
95,,2015-05-27,,,,2001,2015-05-28 14:48:43.761103,2015-05-28 14:48:43.761103,,,,,,
1,,2015-01-09,,,1749,1538,2015-01-22 21:34:04.176152,2015-05-29 16:25:24.895318,,,,,,
96,,,,,,302,2015-05-29 16:26:48.832444,2015-05-29 16:26:48.832444,,,,,,
99,,2015-05-30,,,1752,2005,2015-06-01 17:33:04.632068,2015-06-01 17:33:04.632068,,,,,,
104,,2015-06-13,,,1756,1783,2015-06-14 15:14:50.364234,2015-06-14 15:14:50.364234,,,,,,
77,,2015-04-22,,,729,1939,2015-04-22 22:24:00.261327,2015-06-17 17:11:10.790767,7,,20150422_080959.jpg,image/jpeg,1008607,2015-06-17 17:11:07.293839
121,,,,,,302,2015-06-17 20:49:08.080407,2015-06-17 20:49:08.080407,,,,,,
116,,2015-06-14,,,1757,,2015-06-15 22:48:35.643632,2015-06-17 17:39:48.382709,16,,20150614_174623.jpg,image/jpeg,1499614,2015-06-17 17:39:45.55959
115,,2015-06-13,,,1755,2012,2015-06-15 22:45:43.42926,2015-06-17 17:41:04.430146,9,,20150613_194940.jpg,image/jpeg,1154125,2015-06-17 17:41:02.566631
101,,2015-06-11,,,1754,2006,2015-06-12 16:32:42.392112,2015-06-17 17:50:48.400004,8,,20150611_211221.jpg,image/jpeg,944303,2015-06-17 17:50:40.902196
