id,name,created_at,updated_at,slug,image_url,rated_at,link,fbpage_id,about,fb_photo
13,TAKEN,2015-04-30 15:29:16.408437,2015-07-13 19:46:22.461247,taken,,2015-07-13 19:46:22.419794,,,,
12,WE IN CLOUDZ,2015-04-28 15:28:12.435976,2015-07-28 23:15:58.328792,we-in-cloudz,,2015-07-28 23:15:58.308041,,,,
44,Treetops,2015-06-04 17:48:45.990507,2015-06-12 19:08:13.731761,treetops,,2014-12-12 19:08:13.727277,,,,
16,Mister Sunday,2015-05-05 02:11:37.465519,2015-08-28 17:35:11.982928,mister-sunday,,2015-06-15 22:48:35.643632,https://www.facebook.com/pages/Mister-Sunday/208239965881910,208239965881910,Mondrian Hotel 150 Lafayette St (between Grand St & Howard St) ,
24,All Day I Dream,2015-05-05 21:40:42.085379,2015-08-28 17:35:12.216133,all-day-i-dream,http://uploads.dancingastronaut.com/2015/06/DSC_7570.jpg,2015-06-18 19:32:17.319794,https://www.facebook.com/alldayidream,281503655195830,"All Day I Dream explores beautiful, emotional and melancholic shades of House and Techno through its label's releases, events and artists.
",https://scontent.xx.fbcdn.net/hphotos-xtp1/t31.0-8/s720x720/11144917_1031401246872730_4490681176552482193_o.jpg
2,Cityfox,2015-04-22 21:51:34.68569,2015-08-28 17:35:12.540789,cityfox,,2015-07-06 14:55:45.566372,https://www.facebook.com/cityfox.ny,669920226440557,cityfox. in ny.,https://scontent.xx.fbcdn.net/hphotos-xtp1/t31.0-8/s720x720/11872141_818412104924701_4433672230278366754_o.jpg
46,The Bunker,2015-06-11 04:15:07.133546,2015-08-28 17:35:13.03301,the-bunker,,2014-12-12 19:08:13.7475,https://www.facebook.com/TheBunkerNY,528014050550012,The Bunker is a party for music obsessed people who want to dance to interesting sounds in a room full of likeminded folks.,https://scontent.xx.fbcdn.net/hphotos-xtp1/t31.0-8/q85/s720x720/11872255_1059101934107885_886900841198200768_o.jpg
48,Chapel of Sacred Mirrors (CoSM),2015-06-16 17:38:09.196456,2015-08-28 17:35:13.245297,chapel-of-sacred-mirrors-(cosm),,2014-12-16 17:38:09.207024,https://www.facebook.com/pages/Cosm-Chapel-of-Sacred-Mirrors/439133966119801,439133966119801,,
50,Kaviar Disco Club,2015-06-16 17:52:04.203373,2015-06-16 17:52:04.203373,kaviar-disco-club,,2014-12-16 17:52:04.20827,,,,
49,Robot Heart,2015-06-16 17:51:43.057901,2015-08-28 17:35:13.459247,robot-heart,,2014-12-16 17:51:43.070262,https://www.facebook.com/RobotHeart,104449239662502,LOVE & BEATS,https://scontent.xx.fbcdn.net/hphotos-xfp1/t31.0-8/s720x720/11850540_848716818569070_2100292166659177119_o.jpg
52,Thesis,2015-06-18 17:32:13.540173,2015-08-28 17:35:13.704947,thesis,https://scontent-lga1-1.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/11013618_440936852728077_8088940645917677791_n.jpg?oh=64dab003da9e23537c60b11dde3bb782&oe=55EF6B84,2014-12-18 17:32:13.551737,https://www.facebook.com/thesisnewyork,379056588916104,"An entity dedicated to bringing music-driven events to New York, with a taste for Techno.",https://scontent.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/q90/s720x720/10917043_422425424579220_68788288461660664_n.jpg?oh=7cab603ac4f5111be1210936a936369d&oe=567A2F11
47,Bushwick A/V,2015-06-12 20:27:49.709108,2015-08-28 17:35:13.947822,bushwick-a-v,,2015-06-22 12:22:19.926772,https://www.facebook.com/bushwickav,808224415929113,Parties with purpose.,https://scontent.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/s720x720/11232176_875509479200606_146839307032034212_n.png?oh=118e008e8f5f875f44696ac1b909febc&oe=5638B844
51,Bespoke,2015-06-16 17:52:26.150001,2015-08-28 17:35:14.154665,bespoke,,2015-07-06 23:59:38.445749,https://www.facebook.com/bespokemusik,175188765894301,"Bespoke Musik is a custom-built aesthetic applied to quality electronic music via premium events within New York and across the world, as well as hosted and curated podcasts featuring some of the finest musicians in the world. 

<3",https://scontent.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/s720x720/11903704_896858713727299_1407343731593684487_n.jpg?oh=9ef04919289f7bd89ce3c67197663372&oe=567FABAC
45,Rinsed.it,2015-06-11 02:25:26.79104,2015-11-03 15:17:16.293762,rinsedit,,2015-11-03 15:17:16.284062,https://www.facebook.com/rinsed.it,189777311040352,Rinsing it since 2010,https://scontent.xx.fbcdn.net/hphotos-xlf1/t31.0-8/s720x720/11951432_1095855600432514_7750415830898455711_o.jpg
21,Devotion,2015-05-05 21:03:59.050968,2015-11-15 00:40:51.369296,devotion,,2015-11-15 00:39:41.974079,https://www.facebook.com/devotionyc,549502181790416,"Dévotion is an immersive DIY event series that hosts late night gatherings with likeminded lovers of the music//movement//moment.  

",
